"model","train_seed","episode_index","eval_seed","episodic_return","episodic_length","collided","capped","terminated","truncated","scenario","run_index","run_id"
"deep_sets_mean_max","45678","5","1004","444.2942473883478","525","0","0","0","1","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","6","1005","443.4805943862855","525","0","0","0","1","stay_best","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","7","1006","21.196694586648753","37","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","8","1007","443.0823210413391","525","0","0","0","1","overtake_blocked","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","9","1008","25.030159777116147","40","1","0","1","0","overtake_blocked","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","10","1009","141.2682232656545","177","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","11","1010","442.41987677325","525","0","0","0","1","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","12","1011","443.1608545322543","525","0","0","0","1","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","13","1012","444.1790389592172","525","0","0","0","1","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","14","1013","33.530589462570575","46","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","15","1014","38.20564536219023","61","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","16","1015","25.170991712883012","42","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","17","1016","24.465326341194","42","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","18","1017","87.33639703555511","106","1","0","1","0","overtake_blocked","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","19","1018","151.61213057189843","190","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","20","1019","30.20342305962659","49","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","21","1020","443.32770555637705","525","0","0","0","1","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","22","1021","441.8533324829191","525","0","0","0","1","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","23","1022","442.1685909179155","525","0","0","0","1","stay_best","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
