"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"self_attention","01_curriculum_stage_1_open_lane_training.csv","2","8201","13.942177","8.590086","-0.007233","43.2"
"self_attention","01_curriculum_stage_1_open_lane_training.csv","3","12301","15.648855","10.033104","-0.004873","42.43"
"self_attention","01_curriculum_stage_1_open_lane_training.csv","4","16398","18.707763","12.58711","-0.002936","42.23"
"self_attention","01_curriculum_stage_1_open_lane_training.csv","5","20498","20.29703","13.994427","-0.003229","41.83"
"self_attention","01_curriculum_stage_1_open_lane_training.csv","6","24596","18.376682","12.344203","-0.002298","42.1"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","1","4098","20.187192","12.575336","-0.000444","45.22"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","2","8199","20.505","12.838825","-0.00052","45.4"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","3","12310","21.300518","13.188258","-0.000964","45.83"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","4","16435","22.418478","14.402637","-0.001552","46.25"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","5","20545","21.861702","13.9447","-0.000904","45.55"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","6","24643","23.687861","15.613638","-0.000412","45.19"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","7","28767","21.820106","13.871687","-0.000892","45.83"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","8","32884","23.392045","15.143334","-0.000863","46.0"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","9","36982","21.797872","13.604352","-0.001088","45.18"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","10","41099","25.893082","17.20413","-0.001044","45.77"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","11","45219","26.928105","17.96841","-0.000532","45.45"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","12","49322","27.172185","18.460491","-0.000698","45.59"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","1","4134","27.56","18.842306","-0.001003","47.67"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","2","8250","30.488889","20.506726","-0.000693","47.96"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","3","12350","28.873239","19.194314","-0.000696","48.03"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","4","16457","28.520833","19.287829","-0.000838","48.42"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","5","20563","32.078125","21.578959","-0.000445","48.0"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","6","24678","30.93985","21.221663","-0.000865","47.93"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","7","28791","29.804348","20.200567","-0.001033","49.89"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","8","32901","34.830508","24.407722","-0.000495","50.23"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","9","37017","32.928","22.909884","-0.000896","51.36"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","10","41140","35.239316","24.648318","-0.000421","50.41"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","11","45246","36.990991","26.438407","-0.000494","50.9"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","12","49378","35.930435","24.68785","-0.000534","50.33"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","13","53484","36.017544","25.181158","-0.000789","50.55"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","14","57587","36.633929","25.648058","-0.00079","50.22"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","15","61715","37.87156","26.841101","-0.000553","50.71"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","16","65815","42.708333","30.668864","-0.00052","50.91"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","17","69966","42.793814","30.920467","-0.000788","51.52"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","18","74079","41.13","28.657208","-0.000195","50.59"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","19","78216","44.967391","32.283956","-0.000432","50.85"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","20","82319","44.597826","32.006444","-0.000523","50.89"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","21","86477","45.195652","32.470952","-0.000483","51.25"
