lambda_u,model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,6,1005,103.923731042051,123,1,0,1,0,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,7,1006,19.146975388426185,33,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,8,1007,499.5187006837926,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,9,1008,35.81145151844375,53,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,10,1009,194.57453514211034,246,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,11,1010,54.821149891237084,69,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,12,1011,499.2307252010639,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,13,1012,48.201386501293015,62,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,14,1013,38.38766009724655,48,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,15,1014,52.601541767001976,76,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,16,1015,23.95627359503149,39,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,17,1016,18.472569102172333,38,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,18,1017,154.58527792151534,187,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,19,1018,44.72117532625733,57,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,20,1019,26.87370239507014,47,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,21,1020,39.63953161214279,49,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,22,1021,38.80919057455511,47,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,23,1022,501.483341147986,600,0,0,0,1,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,24,1023,282.7659509518328,339,1,0,1,0,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,25,1024,25.583667074005497,48,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,26,1025,498.38588789673736,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,27,1026,18.24223481970362,30,1,0,1,0,overtake_blocked
